County,State,Outbreak Date,Flock Type,Flock Size
Monmouth,New Jersey,5/17/2022,WOAH Poultry,60
Dunn,Wisconsin,5/16/2022,WOAH Non-Poultry,150
Berks,Pennsylvania,5/14/2022,Commercial Table Egg Breeder,83700
Marinette,Wisconsin,5/13/2022,WOAH Non-Poultry,90
Sheridan,Wyoming,5/13/2022,WOAH Non-Poultry,20
Canyon,Idaho,5/13/2022,WOAH Non-Poultry,9
Barron,Wisconsin,5/13/2022,Commercial Turkey Meat Bird,10500
Lincoln,Wyoming,5/13/2022,WOAH Non-Poultry,40
Ada,Idaho,5/13/2022,WOAH Non-Poultry,60
Grant,Minnesota,5/12/2022,WOAH Non-Poultry,310
Chisago,Minnesota,5/12/2022,WOAH Non-Poultry,40
Ada,Idaho,5/12/2022,WOAH Non-Poultry,10
Okanogan,Washington,5/12/2022,WOAH Non-Poultry,20
Whatcom,Washington,5/12/2022,WOAH Non-Poultry,80
Nobles,Minnesota,5/11/2023,WOAH Non-Poultry,100
Ada,Idaho,5/11/2022,WOAH Non-Poultry,4
Clallam,Washington,5/11/2022,WOAH Non-Poultry,10
Clallam,Washington,5/11/2022,WOAH Non-Poultry,10
Chisago,Minnesota,5/11/2022,WOAH Poultry,160
Pierce,Washington,5/11/2022,WOAH Non-Poultry,20
Cache,Utah,5/11/2022,WOAH Non-Poultry,20
Jerome,Idaho,5/10/2024,WOAH Non-Poultry,20
Jerome,Idaho,5/10/2024,WOAH Poultry,1100
Ionia,Michigan,5/10/2024,WOAH Non-Poultry,90
Berks,Pennsylvania,5/10/2022,Commercial Duck Breeder,23800
Crow Wing,Minnesota,5/10/2022,WOAH Poultry,150
Todd,Minnesota,5/10/2022,WOAH Non-Poultry,50
Muskegon,Michigan,5/10/2022,Commercial Turkey Meat Bird,35100
Ada,Idaho,5/10/2022,WOAH Poultry,70
Pierce,Washington,5/10/2022,WOAH Non-Poultry,20
Lancaster,Pennsylvania,5/10/2022,Commercial Table Egg Layer,72300
Berks,Pennsylvania,5/10/2022,Commercial Duck Meat Bird,37300
San Francisco,California,5/9/2024,Live Bird Market,700
Canyon,Idaho,5/9/2022,WOAH Poultry,50
Barron,Wisconsin,5/7/2022,Commercial Turkey Meat Bird,20100
Spokane,Washington,5/7/2022,WOAH Non-Poultry,80
Cassia,Idaho,5/6/2024,WOAH Non-Poultry,600
Oakland,Michigan,5/6/2022,WOAH Non-Poultry,50
Fergus,Montana,5/6/2022,WOAH Non-Poultry,20
Anoka,Minnesota,5/6/2022,WOAH Non-Poultry,10
Posey,Indiana,5/5/2023,WOAH Non-Poultry,20
Pacific,Washington,5/5/2022,WOAH Poultry,40
Pierce,Wisconsin,5/5/2022,WOAH Non-Poultry,30
Linn,Oregon,5/5/2022,WOAH Non-Poultry,90
Day,South Dakota,5/4/2022,WOAH Poultry,80
Bremer,Iowa,5/4/2022,WOAH Non-Poultry,50
Hamlin,South Dakota,5/4/2022,WOAH Non-Poultry,20
Carver,Minnesota,5/4/2022,WOAH Non-Poultry,30
Fond Du Lac,Wisconsin,5/3/2022,WOAH Non-Poultry,20
Barron,Wisconsin,5/3/2022,Commercial Turkey Meat Bird,46700
Barron,Wisconsin,5/3/2022,Commercial Turkey Meat Bird,19300
Berks,Pennsylvania,5/3/2022,Commercial Duck Meat Bird,74300
Polk,Wisconsin,5/3/2022,WOAH Non-Poultry,120
Chisago,Minnesota,5/3/2022,WOAH Non-Poultry,30
Lyon,Minnesota,5/3/2022,Commercial Turkey Meat Bird,120300
Beadle,South Dakota,5/3/2022,Commercial Turkey Meat Bird,56200
Sauk,Wisconsin,5/3/2022,WOAH Non-Poultry,40
Kane,Illinois,5/3/2022,WOAH Non-Poultry,50
Berks,Pennsylvania,5/3/2022,Commercial Duck Breeder,29600
Gratiot,Michigan,5/2/2024,Commercial Turkey Meat Bird,26400
Dodge,Minnesota,5/2/2024,Commercial Breeder Operation,14100
Clay,Florida,4/30/2024,WOAH Non-Poultry,20
Morrison,Minnesota,4/30/2022,WOAH Non-Poultry,50
Chisago,Minnesota,4/30/2022,WOAH Non-Poultry,30
Chisago,Minnesota,4/30/2022,WOAH Non-Poultry,60
Sequoyah,Oklahoma,4/30/2022,Commercial Broiler Breeder,13800
Branch,Michigan,4/30/2022,WOAH Non-Poultry,20
Weld,Colorado,4/29/2022,Commercial Table Egg Layer,1366200
Gallatin,Montana,4/29/2022,WOAH Non-Poultry,20
Fergus,Montana,4/29/2022,WOAH Non-Poultry,110
Washington,Nebraska,4/29/2022,WOAH Non-Poultry,50
Oconto,Wisconsin,4/29/2022,WOAH Non-Poultry,220
Pondera,Montana,4/29/2022,WOAH Non-Poultry,2000
Lancaster,Pennsylvania,4/29/2022,Commercial Duck Meat Bird,19300
Barron,Wisconsin,4/29/2022,WOAH Non-Poultry,150
Stearns,Minnesota,4/29/2022,Commercial Turkey Breeder Hens,9600
Matanuska Susitna,Alaska,4/29/2022,WOAH Non-Poultry,30
Wexford,Michigan,4/28/2022,WOAH Poultry,70
Barron,Wisconsin,4/28/2022,Commercial Turkey Meat Bird,110700
Swift,Minnesota,4/28/2022,WOAH Non-Poultry,20
Carver,Minnesota,4/28/2022,WOAH Non-Poultry,20
Caledonia,Vermont,4/28/2022,WOAH Non-Poultry,30
Johnson,Indiana,4/28/2022,WOAH Non-Poultry,40
Saginaw,Michigan,4/27/2022,WOAH Non-Poultry,80
Republic,Kansas,4/27/2022,WOAH Poultry,110
Lancaster,Pennsylvania,4/27/2022,Commercial Broiler Breeder Pullets,18100
Knox,Nebraska,4/27/2022,Commercial Table Egg Layer,2118000
Gratiot,Michigan,4/26/2024,Commercial Turkey Meat Bird,27700
Richland,North Dakota,4/26/2022,WOAH Poultry,20
Kossuth,Iowa,4/26/2022,WOAH Non-Poultry,4
Lancaster,Pennsylvania,4/26/2022,Commercial Table Egg Layer,307400
Missoula,Montana,4/26/2022,WOAH Non-Poultry,70
Cassia,Idaho,4/25/2024,WOAH Non-Poultry,40
Stearns,Minnesota,4/25/2022,Commercial Turkey Meat Bird,14600
Menominee,Michigan,4/25/2022,WOAH Non-Poultry,40
Cache,Utah,4/25/2022,Commercial Table Egg Layer,1501200
Rice,Minnesota,4/25/2022,WOAH Non-Poultry,90
Ottawa,Michigan,4/24/2024,Commercial Turkey Meat Bird,104000
Routt,Colorado,4/24/2023,WOAH Non-Poultry,20
Polk,Wisconsin,4/23/2022,WOAH Non-Poultry,40
Swift,Minnesota,4/22/2022,Commercial Turkey Meat Bird,127400
Yellow Medicine,Minnesota,4/22/2022,Commercial Turkey Meat Bird,49500
Otter Tail,Minnesota,4/22/2022,Commercial Turkey Meat Bird,27300
Lancaster,Pennsylvania,4/22/2022,Commercial Broiler Production,50300
Todd,Minnesota,4/21/2022,Commercial Turkey Meat Bird,37000
Todd,Minnesota,4/21/2022,Commercial Turkey Meat Bird,19700
Bremer,Iowa,4/21/2022,Commercial Turkey Meat Bird,29200
Richland,North Dakota,4/21/2022,Commercial Turkey Meat Bird,27500
Renville,North Dakota,4/21/2022,WOAH Non-Poultry,70
Morrison,Minnesota,4/21/2022,Commercial Turkey Meat Bird,40900
Madison,Idaho,4/20/2022,WOAH Poultry,200
Lancaster,Pennsylvania,4/20/2022,Commercial Table Egg Layer,879400
Stearns,Minnesota,4/20/2022,Commercial Turkey Meat Bird,72000
Elkhart,Indiana,4/20/2022,Commercial Duck Meat Bird,6600
Lancaster,Pennsylvania,4/20/2022,Commercial Table Egg Layer,1127700
Todd,Minnesota,4/20/2022,Commercial Turkey Meat Bird,30300
Stearns,Minnesota,4/20/2022,Commercial Turkey Meat Bird,62800
Glacier,Montana,4/20/2022,WOAH Poultry,54200
Todd,Minnesota,4/20/2022,Commercial Turkey Meat Bird,30100
Beadle,South Dakota,4/19/2023,Commercial Turkey Meat Bird,75800
Dickey,North Dakota,4/19/2023,Commercial Turkey Meat Bird,58500
Kandiyohi,Minnesota,4/19/2022,Commercial Turkey Meat Bird,35700
Morrison,Minnesota,4/19/2022,Commercial Turkey Meat Bird,17600
Meeker,Minnesota,4/19/2022,Commercial Turkey Meat Bird,53000
Gooding,Idaho,4/19/2022,WOAH Non-Poultry,80
Morrison,Minnesota,4/19/2022,Commercial Turkey Meat Bird,47700
Kandiyohi,Minnesota,4/19/2022,Commercial Turkey Meat Bird,38700
Montrose,Colorado,4/19/2022,Commercial Broiler Breeder,58000
La Plata,Colorado,4/19/2022,WOAH Poultry,40
Morrison,Minnesota,4/19/2022,Commercial Turkey Meat Bird,58100
Swift,Minnesota,4/19/2022,Commercial Turkey Meat Bird,31600
Otter Tail,Minnesota,4/19/2022,Commercial Turkey Meat Bird,29700
Stutsman,North Dakota,4/19/2022,WOAH Poultry,20
Kings,New York,4/18/2023,Live Bird Market,1400
Roosevelt,New Mexico,4/17/2024,Commercial Breeder (Multiple Bird Species),51800
Newaygo,Michigan,4/17/2024,Commercial Turkey Meat Bird,67200
Bonneville,Idaho,4/17/2023,WOAH Non-Poultry,40
Moffat,Colorado,4/17/2023,WOAH Non-Poultry,80
Putnam,New York,4/17/2023,WOAH Poultry,110
Ionia,Michigan,4/16/2024,Commercial Table Egg Layer,2422700
Menominee,Michigan,4/16/2022,WOAH Non-Poultry,30
Roosevelt,New Mexico,4/15/2024,Commercial Breeder (Multiple Bird Species),15900
Miami-dade,Florida,4/15/2024,Live Bird Market,90
Livingston,Michigan,4/15/2022,WOAH Non-Poultry,20
Macomb,Michigan,4/15/2022,WOAH Non-Poultry,40
Polk,Wisconsin,4/15/2022,Commercial Turkey Meat Bird,22000
Utah,Utah,4/15/2022,WOAH Non-Poultry,7
Lancaster,Pennsylvania,4/15/2022,Commercial Table Egg Layer,1380500
Rosebud,Montana,4/14/2023,WOAH Non-Poultry,0
Sheridan,Nebraska,4/14/2023,WOAH Non-Poultry,10
Columbia,Wisconsin,4/14/2022,WOAH Non-Poultry,70
Meeker,Minnesota,4/14/2022,Commercial Turkey Meat Bird,73200
Gooding,Idaho,4/14/2022,WOAH Poultry,20
Caribou,Idaho,4/14/2022,WOAH Non-Poultry,7
Blue Earth,Minnesota,4/14/2022,Commercial Turkey Meat Bird,26400
Lamoure,North Dakota,4/14/2022,WOAH Non-Poultry,10
Elkhart,Indiana,4/14/2022,Commercial Duck Breeder,6400
Sheboygan,Wisconsin,4/14/2022,WOAH Non-Poultry,20
Otter Tail,Minnesota,4/13/2022,Commercial Turkey Meat Bird,35700
Menominee,Michigan,4/13/2022,WOAH Poultry,350
Barnes,North Dakota,4/13/2022,WOAH Poultry,90
Waseca,Minnesota,4/13/2022,Commercial Turkey Meat Bird,20300
Mcpherson,Kansas,4/13/2022,Commercial Turkey Breeder Hens,6900
Blue Earth,Minnesota,4/13/2022,Commercial Turkey Meat Bird,22700
Benton,Minnesota,4/13/2022,WOAH Non-Poultry,7
Deuel,South Dakota,4/13/2022,Commercial Upland Gamebird Producer,1400
Roosevelt,New Mexico,4/12/2024,Commercial Breeder (Multiple Bird Species),61500
Pueblo,Colorado,4/12/2023,WOAH Non-Poultry,30
Modoc,California,4/12/2023,WOAH Non-Poultry,60
Putnam,New York,4/12/2023,WOAH Poultry,200
Dixon,Nebraska,4/12/2022,Commercial Table Egg Layer,1746900
Morrison,Minnesota,4/12/2022,Commercial Turkey Meat Bird,37600
Morrison,Minnesota,4/12/2022,Commercial Table Egg Layer,216200
Yellow Medicine,Minnesota,4/12/2022,Commercial Turkey Meat Bird,44800
Kandiyohi,Minnesota,4/12/2022,Commercial Turkey Meat Bird,37100
Toole,Montana,4/12/2022,WOAH Non-Poultry,20
Wayne,North Carolina,4/12/2022,Commercial Broiler Production,89700
Benton,Minnesota,4/12/2022,WOAH Non-Poultry,130
Barron,Wisconsin,4/12/2022,Commercial Turkey Meat Bird,46500
Morrison,Minnesota,4/12/2022,Commercial Broiler Production,42900
Sheridan,North Dakota,4/12/2022,WOAH Non-Poultry,30
Meeker,Minnesota,4/11/2024,Commercial Turkey Meat Bird,68500
Menominee,Michigan,4/11/2022,WOAH Non-Poultry,70
Grant,Kansas,4/10/2024,WOAH Poultry,17700
Mitchell,Kansas,4/10/2023,WOAH Non-Poultry,30
Ionia,Michigan,4/9/2024,Commercial Table Egg Layer,2147500
Stearns,Minnesota,4/9/2022,Commercial Turkey Meat Bird,26100
Swift,Minnesota,4/9/2022,Commercial Turkey Meat Bird,130900
Le Sueur,Minnesota,4/9/2022,Commercial Turkey Meat Bird,37800
Yankton,South Dakota,4/9/2022,Commercial Turkey Meat Bird,76100
Pitkin,Colorado,4/8/2022,WOAH Poultry,30
Elkhart,Indiana,4/8/2022,Commercial Duck Breeder,4700
Renville,Minnesota,4/8/2022,Commercial Turkey Meat Bird,76400
Clark,South Dakota,4/8/2022,Commercial Turkey Meat Bird,38700
Otter Tail,Minnesota,4/8/2022,Commercial Turkey Meat Bird,29900
Stutsman,North Dakota,4/8/2022,WOAH Poultry,40
Edmunds,South Dakota,4/8/2022,Commercial Turkey Meat Bird,36400
Wayne,North Carolina,4/7/2022,Commercial Turkey Meat Bird,18500
Judith Basin,Montana,4/7/2022,WOAH Non-Poultry,20
Kandiyohi,Minnesota,4/7/2022,Commercial Turkey Breeder Hens,20800
Racine,Wisconsin,4/7/2022,WOAH Poultry,220
Cascade,Montana,4/7/2022,WOAH Poultry,22000
Fulton,New York,4/6/2022,WOAH Non-Poultry,4
Dade,Missouri,4/6/2022,Commercial Turkey Meat Bird,14000
Park,Wyoming,4/6/2022,WOAH Non-Poultry,100
Wayne,North Carolina,4/6/2022,Commercial Broiler Production,65600
Waseca,Minnesota,4/6/2022,Commercial Turkey Meat Bird,17900
Mcpherson,South Dakota,4/6/2022,Commercial Turkey Meat Bird,45900
Wayne,North Carolina,4/6/2022,Commercial Broiler Production,216000
Queens,New York,4/5/2023,Live Bird Market,1300
Waseca,Minnesota,4/5/2022,Commercial Turkey Meat Bird,25500
Clark,South Dakota,4/5/2022,Commercial Turkey Meat Bird,24000
Morrison,Minnesota,4/5/2022,Commercial Turkey Meat Bird,26200
Meeker,Minnesota,4/5/2022,Commercial Turkey Meat Bird,128500
Orleans,New York,4/5/2022,WOAH Poultry,30
Beadle,South Dakota,4/5/2022,Commercial Turkey Meat Bird,55600
Spink,South Dakota,4/5/2022,Commercial Turkey Meat Bird,26300
Lawrence,Missouri,4/5/2022,Commercial Turkey Meat Bird,27600
Wayne,North Carolina,4/5/2022,Commercial Turkey Meat Bird,14200
Big Stone,Minnesota,4/5/2022,Commercial Turkey Meat Bird,49500
Morrison,Minnesota,4/5/2022,Commercial Turkey Meat Bird,105300
Stearns,Minnesota,4/5/2022,Commercial Turkey Meat Bird,40800
Hardin,Iowa,4/5/2022,Commercial Turkey Meat Bird,46000
Faulk,South Dakota,4/5/2022,Commercial Turkey Meat Bird,48000
Waldo,Maine,4/5/2022,WOAH Non-Poultry,50
Scotts Bluff,Nebraska,4/5/2022,WOAH Non-Poultry,30
Cass,North Dakota,4/5/2022,WOAH Non-Poultry,110
Sheridan,Wyoming,4/5/2022,WOAH Non-Poultry,50
Mcpherson,South Dakota,4/4/2022,Commercial Turkey Meat Bird,61000
Becker,Minnesota,4/4/2022,Commercial Turkey Meat Bird,44700
Kandiyohi,Minnesota,4/4/2022,Commercial Turkey Breeder Hens,20400
Lamoure,North Dakota,4/4/2022,Commercial Turkey Meat Bird,50900
Kandiyohi,Minnesota,4/4/2022,Commercial Turkey Meat Bird,38500
Kandiyohi,Minnesota,4/4/2022,Commercial Turkey Breeder Hens,48500
Hamilton,Iowa,4/4/2022,Commercial Turkey Poult Supplier,8100
Morrison,Minnesota,4/4/2022,Commercial Turkey Meat Bird,32400
Le Sueur,Minnesota,4/3/2023,WOAH Non-Poultry,100
Le Sueur,Minnesota,4/3/2022,Commercial Turkey Meat Bird,19600
Erath,Texas,4/3/2022,Commercial Upland Gamebird Producer,1700
Dodge,Minnesota,4/3/2022,Commercial Turkey Meat Bird,20000
Ionia,Michigan,4/2/2024,Commercial Table Egg Layer,1928500
Parmer,Texas,4/2/2024,Commercial Table Egg Layer,1894100
Humboldt,Iowa,4/2/2022,Commercial Table Egg Breeder,15300
Johnston,North Carolina,4/2/2022,Commercial Turkey Meat Bird,9500
Johnston,North Carolina,4/2/2022,Commercial Turkey Meat Bird,18900
Stearns,Minnesota,4/2/2022,Commercial Turkey Meat Bird,27600
Sac,Iowa,4/2/2022,Commercial Turkey Meat Bird,37200
Lamoure,North Dakota,4/2/2022,Commercial Turkey Meat Bird,27400
Spink,South Dakota,4/2/2022,Commercial Turkey Meat Bird,41800
Wayne,North Carolina,4/2/2022,Commercial Turkey Meat Bird,16900
Lake,South Dakota,4/2/2022,Commercial Turkey Meat Bird,59000
Dickey,North Dakota,4/1/2022,Commercial Turkey Meat Bird,60700
Edmunds,South Dakota,4/1/2022,Commercial Turkey Breeder Replacement Hens,30600
Rock,Wisconsin,4/1/2022,WOAH Non-Poultry,20
Charles Mix,South Dakota,4/1/2022,Commercial Turkey Meat Bird,81500
Fremont,Wyoming,4/1/2022,WOAH Non-Poultry,50
Jasper,Missouri,4/1/2022,Commercial Turkey Meat Bird,35300
Dickey,North Dakota,3/31/2022,WOAH Poultry,30
Cherokee,Iowa,3/31/2022,Commercial Turkey Meat Bird,88000
Stearns,Minnesota,3/31/2022,WOAH Non-Poultry,150
Osceola,Iowa,3/31/2022,Commercial Table Egg Layer,5011700
Morrison,Minnesota,3/31/2022,Commercial Turkey Meat Bird,52600
Carroll,Illinois,3/31/2022,WOAH Non-Poultry,40
Mcpherson,South Dakota,3/31/2022,Commercial Turkey Breeder Hens,26000
Umatilla,Oregon,3/30/2023,WOAH Non-Poultry,50
Buena Vista,Iowa,3/30/2022,Commercial Turkey Meat Bird,35600
Lincoln,Maine,3/30/2022,WOAH Non-Poultry,3
Brule,South Dakota,3/30/2022,Commercial Turkey Meat Bird,55100
Park,Wyoming,3/30/2022,WOAH Non-Poultry,40
Johnston,North Carolina,3/29/2022,Commercial Turkey Meat Bird,32100
Franklin,Ohio,3/29/2022,WOAH Non-Poultry,8
Kandiyohi,Minnesota,3/29/2022,Commercial Turkey Meat Bird,39500
Berkshire,Massachusetts,3/29/2022,WOAH Non-Poultry,260
Johnson,Wyoming,3/29/2022,WOAH Non-Poultry,40
Spink,South Dakota,3/29/2022,Commercial Turkey Meat Bird,45900
Bon Homme,South Dakota,3/29/2022,Commercial Turkey Meat Bird,48200
Edmunds,South Dakota,3/29/2022,Commercial Turkey Breeder Hens,21900
Monroe,New York,3/29/2022,WOAH Poultry,400
Kidder,North Dakota,3/29/2022,WOAH Poultry,30
Lac Qui Parle,Minnesota,3/29/2022,Commercial Turkey Meat Bird,22500
Knox,Maine,3/29/2022,WOAH Non-Poultry,40
Guilford,North Carolina,3/28/2024,WOAH Non-Poultry,80
Yuma,Colorado,3/28/2023,WOAH Poultry,310
Guthrie,Iowa,3/28/2022,Commercial Table Egg Layer,1460000
Hamilton,Iowa,3/28/2022,Commercial Turkey Meat Bird,25800
Hutchinson,South Dakota,3/27/2022,Commercial Turkey Meat Bird,39200
Mcpherson,South Dakota,3/27/2022,Commercial Turkey Meat Bird,43900
Clark,South Dakota,3/27/2022,Commercial Turkey Meat Bird,43100
Stearns,Minnesota,3/26/2022,Commercial Turkey Meat Bird,23500
Mower,Minnesota,3/26/2022,WOAH Non-Poultry,20
Holt,Nebraska,3/26/2022,WOAH Non-Poultry,50
Washington,Maine,3/26/2022,WOAH Non-Poultry,20
Bon Homme,South Dakota,3/26/2022,WOAH Non-Poultry,230
Gentry,Missouri,3/26/2022,WOAH Non-Poultry,140
Meeker,Minnesota,3/26/2022,Commercial Turkey Meat Bird,287500
Franklin,Iowa,3/25/2022,Commercial Table Egg Pullets,250200
Suffolk,New York,3/25/2022,WOAH Poultry,290
Mitchell,Kansas,3/25/2022,WOAH Non-Poultry,20
Hutchinson,South Dakota,3/25/2022,Commercial Turkey Meat Bird,45800
Arapahoe,Colorado,3/24/2023,WOAH Non-Poultry,10
Ellsworth,Kansas,3/24/2023,WOAH Non-Poultry,50
Butler,Nebraska,3/24/2022,Commercial Broiler Production,418500
Buena Vista,Iowa,3/24/2022,Commercial Turkey Meat Bird,53800
Macomb,Michigan,3/24/2022,WOAH Non-Poultry,70
Jerauld,South Dakota,3/24/2022,Commercial Turkey Meat Bird,44000
Lapeer,Michigan,3/23/2023,WOAH Poultry,950
Beadle,South Dakota,3/23/2022,Commercial Turkey Meat Bird,49900
Kingsbury,South Dakota,3/23/2022,Commercial Table Egg Layer,120300
Edmunds,South Dakota,3/23/2022,Commercial Turkey Breeder Hens,30800
Suffolk,New York,3/23/2022,Commercial Upland Gamebird Producer,8500
Tompkins,New York,3/22/2023,WOAH Poultry,6500
Klamath,Oregon,3/22/2023,WOAH Non-Poultry,30
Queens,New York,3/22/2023,Live Bird Market,140
Hale,Texas,3/22/2023,WOAH Non-Poultry,20
Spink,South Dakota,3/22/2023,Commercial Upland Gamebird Producer,570
Hanson,South Dakota,3/22/2022,Commercial Turkey Meat Bird,94600
Cumberland,Maine,3/22/2022,WOAH Poultry,250
Charles Mix,South Dakota,3/22/2022,Commercial Turkey Meat Bird,53800
Beadle,South Dakota,3/22/2022,Commercial Turkey Meat Bird,29400
Butler,Nebraska,3/22/2022,Commercial Broiler Production,570000
Washington,New York,3/21/2023,WOAH Non-Poultry,50
Hillsborough,Florida,3/21/2023,Live Bird Market,340
Deaf Smith,Texas,3/20/2024,WOAH Non-Poultry,50
Warren,Iowa,3/20/2022,WOAH Non-Poultry,10
Hutchinson,South Dakota,3/20/2022,Commercial Turkey Meat Bird,50400
Knox,Maine,3/19/2022,WOAH Non-Poultry,20
York,Maine,3/19/2022,WOAH Non-Poultry,70
Knox,Maine,3/18/2024,WOAH Non-Poultry,40
Cecil,Maryland,3/18/2022,Commercial Table Egg Pullets,315400
Kingsbury,South Dakota,3/18/2022,Commercial Turkey Meat Bird,39200
Hanson,South Dakota,3/18/2022,Commercial Turkey Meat Bird,20200
Dickinson,Kansas,3/18/2022,WOAH Poultry,250
Lancaster,Pennsylvania,3/17/2023,WOAH Poultry,2500
Kent,Delaware,3/17/2022,Commercial Broiler Production,147800
Lincoln,Maine,3/17/2022,WOAH Non-Poultry,30
Sedgwick,Kansas,3/17/2022,WOAH Non-Poultry,6
Buena Vista,Iowa,3/17/2022,Commercial Table Egg Layer,5347500
Monroe,Mississippi,3/16/2023,WOAH Non-Poultry,30
Maries,Missouri,3/16/2023,WOAH Non-Poultry,10
Chester,Pennsylvania,3/16/2023,Commercial Turkey Meat Bird,11800
Lancaster,Pennsylvania,3/16/2023,WOAH Poultry,2400
Lancaster,Pennsylvania,3/16/2023,WOAH Poultry,1600
Rockingham,New Hampshire,3/16/2022,WOAH Non-Poultry,150
Mifflin,Pennsylvania,3/15/2023,WOAH Non-Poultry,60
Chickasaw,Iowa,3/15/2023,WOAH Non-Poultry,50
Ralls,Missouri,3/15/2022,WOAH Non-Poultry,100
Merrick,Nebraska,3/15/2022,WOAH Non-Poultry,90
Klamath,Oregon,3/14/2024,WOAH Non-Poultry,10
Lancaster,Pennsylvania,3/14/2023,WOAH Poultry,3000
Lancaster,Pennsylvania,3/14/2023,WOAH Poultry,2400
Lancaster,Pennsylvania,3/14/2023,WOAH Poultry,3900
Eaton,Michigan,3/14/2023,WOAH Non-Poultry,20
Lancaster,Pennsylvania,3/14/2023,WOAH Poultry,3000
Lancaster,Pennsylvania,3/14/2023,WOAH Poultry,2400
York,Maine,3/14/2022,WOAH Non-Poultry,180
Jefferson,Wisconsin,3/14/2022,Commercial Table Egg Layer,2750700
Lancaster,Pennsylvania,3/13/2023,WOAH Poultry,6000
Hutchinson,South Dakota,3/12/2024,Commercial Turkey Meat Bird,31200
Charles Mix,South Dakota,3/12/2022,Commercial Turkey Meat Bird,37500
Lincoln,Maine,3/12/2022,WOAH Non-Poultry,100
Moore,Texas,3/11/2024,WOAH Non-Poultry,280
Clay,Minnesota,3/11/2024,WOAH Non-Poultry,80
Franklin,Kansas,3/11/2022,WOAH Poultry,260
Mclean,Illinois,3/11/2022,WOAH Non-Poultry,40
Cecil,Maryland,3/10/2022,Commercial Table Egg Layer,663400
Taylor,Iowa,3/10/2022,Commercial Table Egg Layer,915900
Lawrence,Missouri,3/9/2022,Commercial Turkey Breeder Replacement Hens,37800
Queen Anne's,Maryland,3/8/2022,Commercial Broiler Production,139300
Jasper,Missouri,3/8/2022,Commercial Turkey Meat Bird,25000
New Castle,Delaware,3/8/2022,Commercial Table Egg Pullets,243900
Essex,Massachusetts,3/7/2024,WOAH Poultry,70
Rockingham,Virginia,3/7/2023,WOAH Non-Poultry,250
Bingham,Idaho,3/6/2023,WOAH Non-Poultry,10
Lancaster,Pennsylvania,3/6/2023,WOAH Poultry,310
Lancaster,Pennsylvania,3/6/2023,WOAH Poultry,1800
Lancaster,Pennsylvania,3/6/2023,WOAH Poultry,6000
Bucks,Pennsylvania,3/6/2023,WOAH Poultry,1700
Buena Vista,Iowa,3/6/2022,Commercial Turkey Meat Bird,49800
Charles Mix,South Dakota,3/5/2022,Commercial Turkey Meat Bird,44100
Chester,Pennsylvania,3/4/2023,WOAH Poultry,6900
Lancaster,Pennsylvania,3/4/2023,Commercial Turkey Meat Bird,19600
Lancaster,Pennsylvania,3/4/2023,Commercial Duck Breeder,11300
Lancaster,Pennsylvania,3/4/2023,Commercial Turkey Meat Bird,26600
Northumberland,Pennsylvania,3/4/2023,WOAH Poultry,680
Stoddard,Missouri,3/4/2022,Commercial Broiler Production,294800
Bates,Missouri,3/4/2022,WOAH Non-Poultry,50
Cecil,Maryland,3/4/2022,Commercial Table Egg Layer,644000
Douglas,Nevada,3/3/2023,WOAH Non-Poultry,20
Chester,Pennsylvania,3/3/2023,WOAH Poultry,5200
Dubois,Indiana,3/2/2022,Commercial Turkey Meat Bird,16500
New London,Connecticut,3/1/2022,WOAH Non-Poultry,160
Pottawattamie,Iowa,3/1/2022,WOAH Non-Poultry,40
Miami-dade,Florida,2/28/2023,Live Bird Market,510
Mahoning,Ohio,2/27/2024,WOAH Non-Poultry,140
Stevens,Minnesota,2/27/2024,WOAH Non-Poultry,20
Lancaster,Pennsylvania,2/27/2023,WOAH Poultry,4400
Monroe,New York,2/26/2024,WOAH Non-Poultry,20
Wayne,Illinois,2/24/2023,Commercial Turkey Meat Bird,18200
Chester,Pennsylvania,2/24/2023,WOAH Poultry,3400
Lancaster,Pennsylvania,2/24/2023,WOAH Poultry,4000
Ulster,New York,2/24/2022,WOAH Non-Poultry,70
Dubois,Indiana,2/24/2022,Commercial Turkey Meat Bird,36000
Dutchess,New York,2/24/2022,WOAH Non-Poultry,200
Onondaga,New York,2/23/2024,WOAH Non-Poultry,10
Allen,Indiana,2/23/2024,WOAH Non-Poultry,50
Dallas,Missouri,2/23/2024,WOAH Poultry,20300
Moffat,Colorado,2/23/2023,WOAH Non-Poultry,40
Lancaster,Pennsylvania,2/23/2023,WOAH Poultry,2000
Alexandria City,Virginia,2/23/2023,Live Bird Market,800
Kalamazoo,Michigan,2/23/2022,WOAH Non-Poultry,30
Knox,Maine,2/23/2022,WOAH Non-Poultry,100
Greene,Indiana,2/23/2022,Commercial Turkey Meat Bird,15400
Greene,Indiana,2/23/2022,Commercial Turkey Meat Bird,48200
Charles,Maryland,2/22/2024,WOAH Non-Poultry,30
Lancaster,Pennsylvania,2/22/2023,WOAH Poultry,4200
New Castle,Delaware,2/22/2022,Commercial Table Egg Layer,1046900
Dallas,Missouri,2/21/2024,Commercial Turkey Meat Bird,31000
Dallas,Missouri,2/21/2024,Commercial Turkey Meat Bird,12300
Franklin,Ohio,2/21/2024,WOAH Non-Poultry,10
Dallas,Missouri,2/21/2024,Commercial Turkey Meat Bird,28500
